 NP
   0.0000000000000000     
   0.0000000000000000     
    2.82500000    2.82500000    0.00000000
    2.82500000    0.00000000    2.82500000
    0.00000000    2.82500000    2.82500000
          18
         125
     rcell x    rcell y    rcell z     i     j   H   S
  -11.3000  -11.3000  -11.3000       1       1   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       2   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       3   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       4   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       5    0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       6    0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       7   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       8   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1       9   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      10   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      11   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      12   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      13   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      14    0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      15    0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      16   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      17   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       1      18   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       2       1    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       2    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       3    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       4    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       5   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       2       6    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       7    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       8    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2       9    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      10    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      11    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      12    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      13    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      14   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       2      15    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      16    0.00000001    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      17    0.00000001    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       2      18    0.00000001    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       1    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       2    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       3    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       4    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       5    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       6    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       7    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       8    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3       9    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      10    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      11    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      12    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      13    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      14    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      15    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      16    0.00000001    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      17    0.00000001    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       3      18    0.00000001    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       1    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       2    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       3    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       4    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       5    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       6   -0.00000000    0.00000000    0.00000000
  -11.3000  -11.3000  -11.3000       4       7    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       8    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4       9    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4      10    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4      11    0.00000000    0.00000000   -0.00000000
  -11.3000  -11.3000  -11.3000       4      12    0.00000000    0.00000000   -0.00000000
